"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.141766527E2,6.031292500E1,2.503449000E1,2.980190699E1,1.178199172E0,2.874200134E2,1.299999952E0,3.400000095E0
1.151696809E2,6.031293000E1,2.503446833E1,2.960185631E1,1.180258036E0,2.888299866E2,1.299999952E0,3.400000095E0
1.161755483E2,6.031292833E1,2.503444000E1,2.990179862E1,1.201361656E0,2.882300110E2,1.500000000E0,3.400000095E0
1.171761732E2,6.031293000E1,2.503441500E1,2.990174443E1,1.221435785E0,2.857200012E2,1.399999976E0,3.400000095E0
1.181833081E2,6.031293333E1,2.503439000E1,2.990168849E1,1.248201370E0,2.848999939E2,1.399999976E0,3.400000095E0
1.191649336E2,6.031293500E1,2.503436667E1,2.980163780E1,1.282687783E0,2.853999939E2,1.500000000E0,3.400000095E0
1.201718915E2,6.031293667E1,2.503434000E1,2.960158011E1,1.297099948E0,2.862600098E2,1.600000024E0,3.400000095E0
1.211821292E2,6.031294000E1,2.503431667E1,2.950152768E1,1.297614694E0,2.865899963E2,1.600000024E0,3.500000000E0
1.221794029E2,6.031294333E1,2.503429167E1,2.940147174E1,1.322321415E0,2.864599915E2,1.500000000E0,3.500000000E0
1.231692447E2,6.031294833E1,2.503427000E1,2.940142106E1,1.316659451E0,2.877799988E2,1.500000000E0,3.500000000E0
1.241684841E2,6.031295333E1,2.503424833E1,2.940137038E1,1.332615852E0,2.899200134E2,1.600000024E0,3.500000000E0
1.251855191E2,6.031295833E1,2.503423000E1,3.030132669E1,1.339821935E0,2.907099915E2,1.600000024E0,3.400000095E0
1.261747609E2,6.031296167E1,2.503420500E1,3.030127076E1,1.339307189E0,2.901499939E2,1.500000000E0,3.500000000E0
1.271662865E2,6.031296500E1,2.503418167E1,2.990121832E1,1.353719473E0,2.912099915E2,1.500000000E0,3.400000095E0
1.281698422E2,6.031297000E1,2.503415667E1,2.960116064E1,1.371219993E0,2.915199890E2,1.399999976E0,3.500000000E0
1.291775272E2,6.031297500E1,2.503413000E1,2.920109947E1,1.375337720E0,2.918399963E2,1.399999976E0,3.400000095E0
1.301698949E2,6.031297833E1,2.503410500E1,2.900104354E1,1.379455566E0,2.919500122E2,1.399999976E0,3.400000095E0
