"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.359696270E-1,1.842720062E-1,7.917500287E-2,-1.461700052E-1
5.409007040E-1,2.022510022E-1,9.324599802E-2,-3.381150067E-1
5.458318560E-1,2.060849965E-1,9.658499807E-2,-4.787360132E-1
5.507631530E-1,2.446859926E-1,9.955299646E-2,-5.757989883E-1
5.556942320E-1,2.488099933E-1,6.757800281E-2,-6.392800212E-1
5.606253090E-1,1.856639981E-1,5.590200052E-2,-6.666790247E-1
5.655564510E-1,1.405739933E-1,5.963800102E-2,-6.557750106E-1
5.704877590E-1,7.549200207E-2,7.403799891E-2,-6.041309834E-1
5.754188380E-1,5.860700086E-2,7.555799931E-2,-4.618709981E-1
5.803499200E-1,9.833999723E-2,5.703200027E-2,-2.891080081E-1
5.852809970E-1,1.325079948E-1,4.521000199E-3,-8.355599642E-2
5.902121480E-1,1.353770047E-1,-6.990499794E-2,1.477209926E-1
5.951434660E-1,1.549800038E-1,-1.057789996E-1,2.640489936E-1
6.000745450E-1,1.630440056E-1,-1.583929956E-1,3.589740098E-1
6.050056970E-1,1.644330025E-1,-1.642919928E-1,4.208979905E-1
6.099367560E-1,2.038609982E-1,-1.455920041E-1,4.929189980E-1
6.148680620E-1,2.009540051E-1,-1.570959985E-1,5.129060149E-1
6.197991260E-1,1.823049933E-1,-1.493429989E-1,4.763669968E-1
6.247302780E-1,1.624380052E-1,-1.367249936E-1,4.120529890E-1
6.296613280E-1,1.911389977E-1,-1.378560066E-1,3.268760145E-1
6.345926340E-1,2.207520008E-1,-1.096910015E-1,2.735700011E-1
6.395237130E-1,1.972569972E-1,-5.935499817E-2,2.116159946E-1
6.444547850E-1,1.920849979E-1,-1.550900005E-2,1.002110019E-1
6.493859370E-1,1.620319933E-1,3.180399910E-2,-1.290600002E-2
6.543170160E-1,1.214630008E-1,2.900500037E-2,-1.425320059E-1
6.592483260E-1,7.064300030E-2,-4.843600094E-2,-2.891550064E-1
6.641794820E-1,7.487100363E-2,-4.326200113E-2,-3.571290076E-1
6.691105590E-1,9.548500180E-2,-6.941600144E-2,-4.306119978E-1
6.740416210E-1,7.072799653E-2,-1.091869995E-1,-4.307650030E-1
6.789729270E-1,6.895600259E-2,-1.317220032E-1,-4.103929996E-1
6.839040060E-1,3.060300089E-2,-1.063539982E-1,-3.046489954E-1
6.888351630E-1,-8.613999933E-3,-9.754899889E-2,-1.710720062E-1
6.937664700E-1,-2.769899927E-2,-9.837400168E-2,-6.235700101E-2
6.986975490E-1,-8.118999749E-2,-5.042200163E-2,1.484099962E-2
7.036286360E-1,-1.777790040E-1,-8.763000369E-3,7.029099762E-2
7.085597880E-1,-2.039189935E-1,5.223499984E-2,1.254699975E-1
7.134910960E-1,-2.283679992E-1,1.252830029E-1,1.417630017E-1
7.184221800E-1,-2.490539998E-1,1.814520061E-1,1.268260032E-1
7.233533310E-1,-2.489269972E-1,2.537310123E-1,5.691900104E-2
7.282844100E-1,-2.512449920E-1,2.966380119E-1,1.357400045E-2
7.332154820E-1,-2.627829909E-1,3.081650138E-1,-3.435999900E-2
7.381467880E-1,-2.377820015E-1,3.807510138E-1,-9.856399894E-2
7.430778670E-1,-2.426259965E-1,3.854370117E-1,-1.933770031E-1
7.480090140E-1,-2.837759852E-1,3.823359907E-1,-2.900049984E-1
7.529400930E-1,-3.048749864E-1,3.909069896E-1,-3.818219900E-1
7.578713930E-1,-2.768389881E-1,3.984000087E-1,-4.371969998E-1
7.628024720E-1,-2.268099934E-1,3.580670059E-1,-4.541819990E-1
7.677336240E-1,-2.397750020E-1,3.388540149E-1,-5.425699949E-1
7.726649420E-1,-2.417300045E-1,2.914449871E-1,-6.499670148E-1
7.775960210E-1,-1.893769950E-1,2.256509960E-1,-6.276729703E-1
7.825270980E-1,-2.154159993E-1,1.759340018E-1,-6.463689804E-1
7.874582450E-1,-1.443209946E-1,1.190660000E-1,-5.102030039E-1
7.923895520E-1,-1.017460003E-1,4.833199829E-2,-2.889209986E-1
7.973206310E-1,-4.821899906E-2,-7.641100138E-2,-6.666199863E-2
8.022516980E-1,8.851599693E-2,-1.693049967E-1,2.401310056E-1
8.071828500E-1,2.020179927E-1,-2.900939882E-1,6.791719794E-1
8.121139290E-1,1.802310050E-1,-3.754110038E-1,8.582609892E-1
8.170452210E-1,2.072480023E-1,-4.637700021E-1,8.971819878E-1
8.219763000E-1,1.811289936E-1,-4.437800050E-1,8.299769759E-1
8.269074520E-1,1.456979960E-1,-4.065549970E-1,7.023509741E-1
8.318385440E-1,1.212230027E-1,-2.952600121E-1,4.668059945E-1
8.367698500E-1,1.422940046E-1,-1.721570045E-1,2.241140008E-1
8.417010060E-1,1.788170040E-1,-4.197999835E-2,1.994800009E-2
8.466320830E-1,1.441770047E-1,7.381299883E-2,-2.890639901E-1
8.515631600E-1,-2.360000042E-3,2.113330066E-1,-6.332049966E-1
8.564944660E-1,-5.946400017E-2,3.165850043E-1,-7.660890222E-1
8.614255790E-1,-3.763600066E-2,3.596499860E-1,-6.737279892E-1
8.663567300E-1,-1.393519938E-1,4.212029874E-1,-6.407729983E-1
8.712878090E-1,-2.186380029E-1,4.463280141E-1,-5.140389800E-1
8.762191200E-1,-2.521579862E-1,4.393590093E-1,-3.701429963E-1
8.811501990E-1,-5.337089896E-1,5.087940097E-1,-4.550589919E-1
8.860815820E-1,-8.196960092E-1,6.347320080E-1,-6.583549976E-1
8.910124340E-1,-9.471499920E-1,7.716689706E-1,-9.585189819E-1
8.959437390E-1,-9.191859961E-1,8.180339932E-1,-1.130823970E0
9.008748180E-1,-8.248400092E-1,8.558459878E-1,-1.237668991E0
9.058059850E-1,-7.221369743E-1,8.620820045E-1,-1.262462974E0
9.107370640E-1,-5.625650287E-1,7.925660014E-1,-1.191203952E0
9.156683700E-1,-3.968139887E-1,7.135670185E-1,-9.038280249E-1
9.205995260E-1,-2.278109938E-1,5.325350165E-1,-6.187419891E-1
9.255306030E-1,6.566300243E-2,1.301120073E-1,-6.499850154E-1
9.304619080E-1,2.246129960E-1,-1.796569973E-1,-1.957879961E-1
9.353930010E-1,5.610160232E-1,-3.516309857E-1,7.793769836E-1
9.403241530E-1,8.547480106E-1,-5.230039954E-1,1.554432034E0
9.452552320E-1,1.043326020E0,-7.565060258E-1,1.911383986E0
9.501865770E-1,1.059846044E0,-8.993070126E-1,2.054038048E0
9.551176560E-1,9.998350143E-1,-8.060879707E-1,1.966230035E0
9.600488080E-1,1.031479001E0,-5.590419769E-1,1.897634029E0
9.649801140E-1,9.997019768E-1,-3.962000012E-1,1.824898005E0
9.699111930E-1,9.318580031E-1,-2.638159990E-1,1.700678945E0
9.748423450E-1,7.930849791E-1,-1.677320004E-1,1.532524943E0
9.797734250E-1,7.041890025E-1,-1.326290071E-1,1.402037024E0
9.847047310E-1,6.537370086E-1,-1.497219950E-1,1.333196998E0
9.896358050E-1,5.980089903E-1,-2.267760038E-1,1.323462963E0
9.945669570E-1,4.761860073E-1,-2.587899864E-1,1.233762026E0
9.994980360E-1,4.403769970E-1,-2.124989927E-1,1.111744046E0
1.004429326E0,4.216180146E-1,-6.166499853E-2,9.068700075E-1
1.009360405E0,4.037260115E-1,7.619000040E-3,7.744359970E-1
1.014291562E0,4.946680069E-1,-1.401999965E-2,7.933620214E-1
1.019222641E0,4.641279876E-1,-1.209969968E-1,7.623760104E-1
